0.088,0.92
0.176,0.86
0.264,0.8200000000000001
0.352,0.66
0.43999999999999995,0.72
0.528,0.66
0.616,0.6
0.704,0.6
0.7919999999999999,0.54
0.8799999999999999,0.52
0.968,0.5
1.056,0.44
1.144,0.38
1.232,0.4
1.3199999999999998,0.38
1.408,0.34
1.496,0.28
1.5839999999999999,0.28
1.672,0.3
1.7599999999999998,0.28
1.8479999999999999,0.26
1.936,0.22
2.024,0.22
2.112,0.2
2.1999999999999997,0.18
2.288,0.2
2.376,0.16
2.464,0.18
2.552,0.12
2.6399999999999997,0.14
2.7279999999999998,0.12
2.816,0.12
2.904,0.12
2.992,0.1
3.0799999999999996,0.1
3.1679999999999997,0.1
3.256,0.08
3.344,0.08
3.432,0.06
3.5199999999999996,0.06
3.6079999999999997,0.06
