+220.000E-06,-20.100502E-03,+4.266332E-03
+221.000E-06,-32.663316E-03,+3.512563E-03
+222.000E-06,-32.663316E-03,+1.000000E-03
+223.000E-06,-26.381909E-03,+1.000000E-03
+224.000E-06,-20.100502E-03,+1.502513E-03
+225.000E-06,-26.381909E-03,+5.020101E-03
+226.000E-06,-20.100502E-03,+1.000000E-03
+227.000E-06,-26.381909E-03,+3.512563E-03
+228.000E-06,-20.100502E-03,+1.000000E-03
+229.000E-06,-20.100502E-03,+2.256281E-03
+230.000E-06,-20.100502E-03,+5.020101E-03
+231.000E-06,-32.663316E-03,+2.256281E-03
+232.000E-06,-22.613065E-03,+4.266332E-03
+233.000E-06,-20.100502E-03,+5.020101E-03
+234.000E-06,-20.100502E-03,+13.060301E-03
+235.000E-06,-20.100502E-03,+11.552764E-03
+236.000E-06,-2.512563E-03,+9.040201E-03
+237.000E-06,+0.0E+00,+7.532663E-03
+238.000E-06,-2.512563E-03,+5.020101E-03
+239.000E-06,-6.281407E-03,+6.276382E-03
+240.000E-06,-20.100502E-03,-2.266332E-03
+241.000E-06,-20.100502E-03,-3.020100E-03
+242.000E-06,-16.331658E-03,+1.502513E-03
+243.000E-06,-6.281407E-03,-3.020100E-03
+244.000E-06,+0.0E+00,-7.040201E-03
+245.000E-06,-12.562814E-03,-4.276382E-03
+246.000E-06,-20.100502E-03,-6.286432E-03
+247.000E-06,-20.100502E-03,-20.356784E-03
+248.000E-06,-40.201005E-03,-30.407035E-03
+249.000E-06,-12.562814E-03,-23.120603E-03
+250.000E-06,-20.100502E-03,-19.100502E-03
+251.000E-06,-12.562814E-03,-29.653266E-03
+252.000E-06,-20.100502E-03,-43.221105E-03
+253.000E-06,-12.562814E-03,-36.437185E-03
+254.000E-06,-2.512563E-03,-43.221105E-03
+255.000E-06,-12.562814E-03,-19.100502E-03
+256.000E-06,-6.281407E-03,-39.201005E-03
+257.000E-06,-6.281407E-03,-52.517587E-03
+258.000E-06,-16.331658E-03,-71.361808E-03
+259.000E-06,+12.562814E-03,-67.341708E-03
+260.000E-06,-20.100502E-03,-51.261306E-03
+261.000E-06,+0.0E+00,-56.537688E-03
+262.000E-06,+0.0E+00,-59.804019E-03
+263.000E-06,+0.0E+00,-75.381909E-03
+264.000E-06,+20.100502E-03,-83.422110E-03
+265.000E-06,+0.0E+00,-91.462311E-03
+266.000E-06,+16.331658E-03,-94.728642E-03
+267.000E-06,+12.562814E-03,-97.994974E-03
+268.000E-06,+20.100502E-03,-91.964823E-03
+269.000E-06,+0.0E+00,-107.542712E-03
+270.000E-06,+20.100502E-03,-100.005024E-03
+271.000E-06,+0.0E+00,-107.542712E-03
+272.000E-06,+0.0E+00,-118.849245E-03
+273.000E-06,+20.100502E-03,-123.623114E-03
+274.000E-06,+2.512563E-03,-119.603014E-03
+275.000E-06,+12.562814E-03,-119.603014E-03
+276.000E-06,+28.894472E-03,-127.643215E-03
+277.000E-06,+12.562814E-03,-122.115577E-03
+278.000E-06,+22.613065E-03,-135.683416E-03
+279.000E-06,+20.100502E-03,-135.683416E-03
+280.000E-06,+36.432160E-03,-139.703516E-03
+281.000E-06,+40.201005E-03,-135.683416E-03
+282.000E-06,+22.613065E-03,-137.693466E-03
+283.000E-06,+40.201005E-03,-143.723616E-03
+284.000E-06,+56.532663E-03,-136.185928E-03
+285.000E-06,+60.301507E-03,-135.683416E-03
+286.000E-06,+56.532663E-03,-135.683416E-03
+287.000E-06,+46.482412E-03,-139.703516E-03
+288.000E-06,+42.713567E-03,-134.929647E-03
+289.000E-06,+26.381909E-03,-151.763817E-03
+290.000E-06,+40.201005E-03,-148.246230E-03
+291.000E-06,+40.201005E-03,-154.276380E-03
+292.000E-06,+42.713567E-03,-143.723616E-03
+293.000E-06,+66.582914E-03,-138.195978E-03
